IEA fossil fuel subsidies database;;;;;;;;;;;;;;;;
© 2025 IEA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Unit: Real 2024 million USD;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Colombia;Total;167,7;242,2;54,7;1,7;1,1;991,1;864,3;485,4;755,6;710,1;526,6;1 775,9;9 832,8;818,0;615,3
Ecuador;Oil;3 744,3;5 645,1;6 101,4;5 849,3;5 245,9;2 845,1;1 699,4;2 725,5;3 689,1;3 319,7;950,9;1 851,3;4 404,6;1 745,2;1 905,9
Ecuador;Electricity;17,8;170,8;309,3;598,6;606,9;-;-;-;-;-;-;55,3;210,0;25,0;-
Ecuador;Gas;-;0,0;-;11,8;9,9;1,0;-;1,8;7,5;2,2;0,6;16,4;15,4;12,3;4,8
Ecuador;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ecuador;Total;3 762,1;5 815,9;6 410,7;6 459,6;5 862,7;2 846,1;1 699,4;2 727,2;3 696,6;3 321,9;951,5;1 923,0;4 630,0;1 782,5;1 910,8
Egypt;Oil;14 110,2;18 741,1;16 565,7;16 385,7;13 786,1;7 528,8;6 294,5;14 584,8;16 950,3;11 081,0;6 127,9;9 460,9;17 193,6;15 526,7;15 758,8
Egypt;Electricity;3 212,3;4 768,5;4 944,8;5 269,3;4 339,1;4 186,0;3 905,1;8 899,1;11 092,2;5 677,3;2 220,9;9 929,1;23 723,0;10 518,3;9 155,3
Egypt;Gas;695,1;1 503,5;1 554,3;1 940,8;1 007,8;923,2;435,2;1 495,3;2 535,6;47,8;18,8;1 702,3;7 476,8;2 414,6;613,3
Egypt;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Egypt;Total;18 017,6;25 013,1;23 064,8;23 595,9;19 133,0;12 638,0;10 634,8;24 979,1;30 578,0;16 806,0;8 367,6;21 092,3;48 393,4;28 459,7;25 527,4
ElSalvador;Oil;34,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ElSalvador;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ElSalvador;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ElSalvador;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ElSalvador;Total;34,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gabon;Oil;-;-;54,4;89,4;136,8;185,8;168,4;60,8;51,4;46,1;49,7;28,3;67,2;75,0;11,1
Gabon;Electricity;-;-;-;7,0;-;-;-;-;1,0;-;-;0,8;297,9;53,8;-
Gabon;Gas;-;-;-;-;0,7;0,8;0,7;0,7;0,8;0,6;0,5;1,3;2,7;1,2;0,9
Gabon;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gabon;Total;-;-;54,4;96,4;137,6;186,6;169,1;61,5;53,2;46,7;50,3;30,3;367,8;130,0;12,0
Ghana;Oil;214,5;134,1;161,8;72,0;35,4;42,6;27,9;73,8;102,7;2,5;-;55,8;21,3;163,9;112,7
Ghana;Electricity;-;-;-;-;-;159,3;244,0;344,2;352,9;303,6;498,9;1 049,8;2 855,5;309,5;335,9
Ghana;Gas;-;-;-;-;-;-;0,7;8,3;14,9;12,5;16,0;55,5;168,1;95,0;79,9
Ghana;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ghana;Total;214,5;134,1;161,8;72,0;35,4;201,9;272,7;426,3;470,4;318,7;515,0;1 161,1;3 044,9;568,4;528,5
India;Oil;19 405,3;36 690,1;43 067,4;40 645,3;30 674,4;16 766,7;12 508,2;14 732,6;18 370,6;15 187,4;11 387,9;13 408,7;22 624,9;19 406,3;27 663,2
India;Electricity;3 275,6;4 255,4;3 431,3;5 812,9;3 789,7;9 010,4;9 292,0;6 629,9;10 048,9;7 226,7;7 298,8;15 123,3;19 185,5;27 920,8;27 103,2
India;Gas;759,3;1 750,3;1 823,2;2 244,9;2 313,1;1 746,8;1 230,8;1 307,0;2 939,7;851,8;320,8;2 643,4;9 125,5;2 492,6;6 068,8
India;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
India;Total;23 440,2;42 695,8;48 321,8;48 703,1;36 777,2;27 523,9;23 031,0;22 669,6;31 359,2;23 265,8;19 007,4;31 175,3;50 936,0;49 819,6;60 835,2
Indonesia;Oil;11 357,1;21 478,8;29 110,8;27 636,1;26 782,7;10 897,1;6 767,0;14 534,6;25 458,8;20 161,8;7 649,8;20 418,1;35 573,0;27 228,1;23 452,1
Indonesia;Electricity;7 042,6;8 350,3;8 322,2;9 712,0;14 907,3;9 547,1;12 748,0;5 927,2;11 801,8;-;-;1 881,6;8 036,7;550,5;4 445,4
Indonesia;Gas;1 699,5;554,9;1 340,2;233,8;547,0;-;-;-;-;-;-;-;1 426,7;-;1,1
Indonesia;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Indonesia;Total;20 099,2;30 384,0;38 773,2;37 581,9;42 237,0;20 444,2;19 515,0;20 461,8;37 260,5;20 161,8;7 649,8;22 299,7;45 036,4;27 778,5;27 898,6
Iraq;Oil;10 190,4;12 066,1;13 338,6;11 247,0;7 826,4;4 043,1;3 405,8;6 291,0;7 977,5;7 495,5;4 083,3;6 590,9;10 270,0;7 284,1;8 374,4
Iraq;Electricity;2 882,0;2 589,3;1 628,0;1 957,7;1 597,4;2 115,5;2 511,7;2 285,9;3 016,4;2 275,4;2 165,9;5 092,2;7 358,8;4 488,9;4 472,4
Iraq;Gas;111,2;235,2;1 168,9;716,9;413,3;333,3;861,6;807,6;942,5;914,3;833,3;2 180,3;2 717,7;2 162,2;1 872,1
Iraq;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Iraq;Total;13 183,5;14 890,7;16 135,5;13 921,6;9 837,0;6 491,9;6 779,2;9 384,5;11 936,4;10 685,2;7 082,5;13 863,4;20 346,5;13 935,3;14 718,9
Iran;Oil;22 332,8;18 282,9;30 623,8;30 819,8;28 154,7;13 227,4;7 471,5;11 941,2;31 597,5;42 179,3;34 882,4;40 650,3;50 064,9;24 320,8;43 224,3
Iran;Electricity;8 858,5;8 747,1;12 582,4;10 736,6;10 547,8;9 011,9;3 247,5;9 993,3;19 032,1;76 339,5;26 830,8;24 570,5;30 329,6;25 936,5;25 877,5
Iran;Gas;17 826,0;10 690,9;20 262,9;18 880,5;16 639,6;13 651,2;10 129,5;11 517,2;23 695,2;26 102,0;27 664,2;31 746,3;54 007,6;34 684,5;35 499,8
Iran;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Iran;Total;49 017,3;37 720,9;63 469,1;60 436,9;55 342,0;35 890,5;20 848,4;33 451,7;74 324,8;144 620,8;89 377,4;96 967,1;134 402,1;84 941,7;104 601,6
Kazakhstan;Oil;2 909,3;2 451,2;1 842,9;1 948,7;2 406,7;995,9;2 713,1;2 565,6;3 812,5;3 292,6;1 951,0;5 080,0;10 328,8;5 503,7;3 517,0
Kazakhstan;Electricity;2 071,5;2 249,8;2 157,3;588,2;496,8;423,7;1 037,6;1 475,4;2 525,6;1 598,5;1 190,0;6 012,1;15 497,0;6 019,3;4 060,4
Kazakhstan;Gas;674,7;800,8;690,3;638,4;1 127,9;976,0;882,0;990,3;1 565,5;797,9;545,9;3 255,8;8 764,4;3 012,2;2 406,2
Kazakhstan;Coal;1 568,4;2 914,7;2 488,8;1 913,1;1 335,1;1 133,0;1 686,6;2 007,1;2 264,8;1 810,9;1 452,5;2 504,4;3 856,1;1 645,5;1 463,6
Kazakhstan;Total;7 223,9;8 416,4;7 179,3;5 088,4;5 366,6;3 528,8;6 319,3;7 038,3;10 168,3;7 499,9;5 139,3;16 852,2;38 446,3;16 180,7;11 447,2
Kuwait;Oil;2 498,8;3 248,9;3 235,2;3 146,4;3 215,1;1 680,4;1 367,2;1 588,0;2 044,8;1 534,8;441,8;1 677,0;2 079,8;902,3;812,0
Kuwait;Electricity;3 451,9;3 028,0;2 564,6;3 521,7;4 162,5;5 340,0;5 155,5;4 177,5;3 918,9;3 213,0;2 589,0;4 894,4;10 377,4;5 253,9;4 644,9
