"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SUB_TYPE","FFS","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"IMF.STA:FFS(1.0.2)","TKM.IM.COA.USQ2021.A","OBS_VALUE","Turkmenistan","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","GNQ.IM.COA.USQ2021.A","OBS_VALUE","Equatorial Guinea, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","TGO.IM.COA.USQ2021.A","OBS_VALUE","Togo","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","IDN.IM.COA.USQ2021.A","OBS_VALUE","Indonesia","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","16.76745965","19.9165213","21.34132632","27.98132979","39.42938961","36.72677375","39.81524435","36.69456213","36.95841789","38.35179706","41.56683837","43.39054625","44.73180873","46.38588419","48.11739315","49.89190288","51.76311176","53.68305181","55.64619754","57.42517131","59.18091672"
"IMF.STA:FFS(1.0.2)","GTM.IM.COA.USQ2021.A","OBS_VALUE","Guatemala","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.341817417","0.4048575","0.340995264","0.407264368","0.408686195","0.264852902","0.344293962","0.331080143","0.607816455","0.675634726","0.355795943","0.534877867","0.552939775","0.551066695","0.659927795","0.634877019","0.63650172","0.63589841","0.635468297","0.637130799","0.64133515"
"IMF.STA:FFS(1.0.2)","GMB.IM.COA.USQ2021.A","OBS_VALUE","Gambia, The","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","BLR.IM.COA.USQ2021.A","OBS_VALUE","Belarus, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","1.920736972","1.747998633","1.843458863","2.094134702","1.856461769","1.427537257","1.616485664","1.521728336","1.496150762","1.566605869","1.611232171","1.611601508","1.609261852","1.610834862","1.609321365","1.597493481","1.582835781","1.567154958","1.55139497","1.535684216","1.520028895"
"IMF.STA:FFS(1.0.2)","COG.IM.COA.USQ2021.A","OBS_VALUE","Congo, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","SGP.IM.COA.USQ2021.A","OBS_VALUE","Singapore","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.201940929","0.208618782","0.598696742","0.252596283","0.252432353","0.220860089","0.247231021","0.553505822","0.546035656","0.449137669","0.478248818","0.474854322","0.475129238","0.47781767","0.482965291","0.488863199","0.491591601","0.496267066","0.501649397","0.507297382","0.512913134"
"IMF.STA:FFS(1.0.2)","ECU.IM.COA.USQ2021.A","OBS_VALUE","Ecuador","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
